Round,Date,Time,Timezone,Team 1,FT,HT,Team 2,Comments,UTC
1,Sat Apr 23 2005,16:00,-0300,Atlético Mineiro,4-1,1-1,Figueirense SC,,2005-04-23T19:00Z
1,Sat Apr 23 2005,18:10,-0300,São Caetano SP,2-2,0-1,Palmeiras,,2005-04-23T21:10Z
1,Sat Apr 23 2005,18:10,-0300,Flamengo RJ,1-1,0-1,Cruzeiro,,2005-04-23T21:10Z
1,Sat Apr 23 2005,16:00,-0300,Paraná Clube,0-2,0-0,Goiás GO,,2005-04-23T19:00Z
1,Sun Apr 24 2005,16:00,-0300,Internacional,0-2,0-0,Botafogo RJ,,2005-04-24T19:00Z
1,Sun Apr 24 2005,16:00,-0300,Fortaleza CE,0-1,0-0,Coritiba PR,,2005-04-24T19:00Z
1,Sun Apr 24 2005,16:00,-0300,Fluminense RJ,2-1,1-0,São Paulo FC,,2005-04-24T19:00Z
1,Sun Apr 24 2005,18:10,-0300,Santos FC,4-1,2-1,Paysandu PA,,2005-04-24T21:10Z
1,Sun Apr 24 2005,18:10,-0300,Athletico Paranaense,0-1,0-1,Ponte Preta,,2005-04-24T21:10Z
1,Sun Apr 24 2005,18:10,-0300,Corinthians SP,2-2,2-1,Juventude RS,,2005-04-24T21:10Z
1,Sun Apr 24 2005,18:10,-0300,Brasiliense DF,0-1 (*),,Vasco da Gama RJ,awd.,2005-04-24T21:10Z
2,Sat Apr 30 2005,16:00,-0300,Vasco da Gama RJ,0-0,0-0,Fortaleza CE,,2005-04-30T19:00Z
2,Sat Apr 30 2005,16:00,-0300,Palmeiras,2-1,1-1,Brasiliense DF,,2005-04-30T19:00Z
2,Sat Apr 30 2005,16:00,-0300,Goiás GO,0-0,0-0,São Caetano SP,,2005-04-30T19:00Z
2,Sat Apr 30 2005,18:10,-0300,São Paulo FC,1-1,0-0,Paraná Clube,,2005-04-30T21:10Z
2,Sat Apr 30 2005,18:10,-0300,Ponte Preta,3-3,1-1,Atlético Mineiro,,2005-04-30T21:10Z
