Round,Date,Time,Team 1,FT,HT,Team 2
1,Sat Jul 19 2014,16:30,RB Salzburg,6-1,2-0,Rapid Wien
1,Sat Jul 19 2014,19:00,SV Ried,3-1,1-0,SC Wiener Neustadt
1,Sat Jul 19 2014,19:00,FC Admira Wacker,1-4,1-1,Wolfsberger AC
1,Sat Jul 19 2014,19:00,SCR Altach,1-0,0-0,Sturm Graz
1,Sun Jul 20 2014,16:30,Austria Wien,1-1,0-0,SV Grödig
2,Sat Jul 26 2014,16:30,Wolfsberger AC,4-0,1-0,Austria Wien
2,Sat Jul 26 2014,19:00,SC Wiener Neustadt,0-5,0-1,RB Salzburg
2,Sat Jul 26 2014,19:00,Rapid Wien,1-0,0-0,SV Ried
2,Sun Jul 27 2014,16:30,SV Grödig,2-1,0-1,Sturm Graz
3,Sat Aug 2 2014,16:30,FC Admira Wacker,1-1,1-0,Rapid Wien
3,Sat Aug 2 2014,19:00,SV Ried,0-2,0-0,RB Salzburg
3,Sat Aug 2 2014,19:00,Austria Wien,0-0,0-0,SCR Altach
3,Sat Aug 2 2014,19:00,Sturm Graz,4-2,1-2,SC Wiener Neustadt
3,Sun Aug 3 2014,16:30,SV Grödig,0-2,0-1,Wolfsberger AC
4,Sat Aug 9 2014,16:30,SC Wiener Neustadt,2-2,2-2,Austria Wien
4,Sat Aug 9 2014,19:00,SCR Altach,1-2,0-0,Wolfsberger AC
4,Sat Aug 9 2014,19:00,SV Ried,1-1,1-0,FC Admira Wacker
4,Sat Aug 9 2014,19:00,Rapid Wien,1-1,0-0,Sturm Graz
4,Sun Aug 10 2014,16:30,RB Salzburg,8-0,5-0,SV Grödig
2,Wed Aug 13 2014,19:30,SCR Altach,0-2,0-1,FC Admira Wacker
5,Sat Aug 16 2014,16:30,Rapid Wien,0-1,0-0,SCR Altach
5,Sat Aug 16 2014,19:00,SV Grödig,3-0,1-0,SC Wiener Neustadt
5,Sat Aug 16 2014,19:00,Wolfsberger AC,4-1,3-1,SV Ried
5,Sat Aug 16 2014,19:00,FC Admira Wacker,0-3,0-1,RB Salzburg
5,Sun Aug 17 2014,16:30,Sturm Graz,1-1,0-1,Austria Wien
6,Sat Aug 23 2014,16:30,Sturm Graz,1-2,0-0,Wolfsberger AC
6,Sat Aug 23 2014,19:00,RB Salzburg,5-0,3-0,SCR Altach
6,Sat Aug 23 2014,19:00,SC Wiener Neustadt,5-4,1-1,FC Admira Wacker
6,Sat Aug 23 2014,19:00,SV Ried,2-2,0-2,SV Grödig
6,Sun Aug 24 2014,16:30,Austria Wien,2-2,1-1,Rapid Wien
7,Sat Aug 30 2014,19:00,FC Admira Wacker,2-1,2-0,Austria Wien
7,Sat Aug 30 2014,19:00,SCR Altach,2-2,1-0,SV Ried
7,Sat Aug 30 2014,19:00,Wolfsberger AC,0-1,0-0,SC Wiener Neustadt
7,Sat Aug 30 2014,16:30,RB Salzburg,2-3,1-2,Sturm Graz
7,Sun Aug 31 2014,16:30,Rapid Wien,2-0,1-0,SV Grödig
8,Sat Sep 13 2014,18:30,Austria Wien,3-1,2-1,SV Ried
8,Sat Sep 13 2014,18:30,Sturm Graz,0-2,0-1,FC Admira Wacker
8,Sun Sep 14 2014,16:30,Wolfsberger AC,1-0,1-0,RB Salzburg
8,Wed Sep 17 2014,18:30,SV Grödig,3-3,2-0,SCR Altach
8,Wed Sep 17 2014,18:30,SC Wiener Neustadt,1-5,1-1,Rapid Wien
9,Sat Sep 20 2014,16:00,Rapid Wien,3-0,1-0,Wolfsberger AC
9,Sat Sep 20 2014,18:30,SV Ried,0-1,0-0,Sturm Graz
9,Sat Sep 20 2014,18:30,SCR Altach,2-0,1-0,SC Wiener Neustadt
9,Sat Sep 20 2014,18:30,FC Admira Wacker,0-0,0-0,SV Grödig
9,Sun Sep 21 2014,16:30,RB Salzburg,2-3,1-2,Austria Wien
10,Sat Sep 27 2014,18:30,SC Wiener Neustadt,0-1,0-0,SV Ried
10,Sat Sep 27 2014,16:00,Sturm Graz,2-2,2-1,SCR Altach
10,Sat Sep 27 2014,18:30,Wolfsberger AC,2-1,1-0,FC Admira Wacker
10,Sat Sep 27 2014,18:30,SV Grödig,0-0,0-0,Austria Wien
10,Sun Sep 28 2014,16:30,Rapid Wien,1-2,0-0,RB Salzburg
11,Sat Oct 4 2014,16:00,Austria Wien,0-2,0-1,Wolfsberger AC
11,Sat Oct 4 2014,18:30,FC Admira Wacker,0-2,0-1,SCR Altach
11,Sat Oct 4 2014,18:30,Sturm Graz,1-0,0-0,SV Grödig
11,Sun Oct 5 2014,19:00,RB Salzburg,4-1,2-1,SC Wiener Neustadt
11,Sun Oct 5 2014,16:30,SV Ried,1-2,1-0,Rapid Wien
12,Sat Oct 18 2014,16:00,RB Salzburg,4-2,2-1,SV Ried
12,Sat Oct 18 2014,18:30,SCR Altach,1-1,1-1,Austria Wien
12,Sat Oct 18 2014,18:30,Wolfsberger AC,1-2,1-0,SV Grödig
12,Sat Oct 18 2014,18:30,Rapid Wien,0-0,0-0,FC Admira Wacker
12,Sun Oct 19 2014,16:30,SC Wiener Neustadt,0-0,0-0,Sturm Graz
13,Sat Oct 25 2014,18:30,Austria Wien,2-0,2-0,SC Wiener Neustadt
13,Sat Oct 25 2014,18:30,FC Admira Wacker,0-0,0-0,SV Ried
13,Sat Oct 25 2014,18:30,Wolfsberger AC,0-0,0-0,SCR Altach
13,Sat Oct 25 2014,16:00,Sturm Graz,1-3,0-2,Rapid Wien
13,Sun Oct 26 2014,16:30,SV Grödig,2-2,2-1,RB Salzburg
14,Sat Nov 1 2014,18:30,RB Salzburg,2-0,2-0,FC Admira Wacker
14,Sat Nov 1 2014,16:00,Austria Wien,0-3,0-2,Sturm Graz
14,Sat Nov 1 2014,18:30,SV Ried,1-0,0-0,Wolfsberger AC
