Round,Date,Time,Timezone,Team 1,FT,HT,Team 2,UTC
1,Fri Jul 31 2015,19:00,CEST/+0200,SC Neusiedl/See 1919,0-1,0-0,First Vienna FC,2015-07-31T17:00Z
1,Fri Jul 31 2015,19:00,CEST/+0200,SC Sollenau,2-1,1-0,SC Ritzing,2015-07-31T17:00Z
1,Fri Jul 31 2015,19:30,CEST/+0200,SV Horn,2-1,0-1,SV Schwechat,2015-07-31T17:30Z
1,Fri Jul 31 2015,19:30,CEST/+0200,Wiener Sportklub,1-3,1-2,SC/ESV Parndorf,2015-07-31T17:30Z
1,Fri Jul 31 2015,19:30,CEST/+0200,SKU Amstetten,0-0,0-0,ASK Ebreichsdorf,2015-07-31T17:30Z
1,Fri Jul 31 2015,19:00,CEST/+0200,Austria Wien II,2-0,2-0,Rapid Wien II,2015-07-31T17:00Z
1,Sat Aug 1 2015,17:30,CEST/+0200,FC Stadlau,1-0,0-0,SKN St. Pölten II,2015-08-01T15:30Z
1,Sun Aug 2 2015,17:30,CEST/+0200,FC Admira Wacker II,4-1,2-1,SV Oberwart,2015-08-02T15:30Z
2,Fri Aug 7 2015,19:00,CEST/+0200,First Vienna FC,7-1,3-1,FC Admira Wacker II,2015-08-07T17:00Z
2,Fri Aug 7 2015,19:00,CEST/+0200,SC/ESV Parndorf,4-0,0-0,SC Sollenau,2015-08-07T17:00Z
2,Fri Aug 7 2015,19:30,CEST/+0200,ASK Ebreichsdorf,1-1,1-0,SC Ritzing,2015-08-07T17:30Z
2,Fri Aug 7 2015,19:30,CEST/+0200,SV Schwechat,1-0,1-0,FC Stadlau,2015-08-07T17:30Z
2,Fri Aug 7 2015,19:30,CEST/+0200,SV Oberwart,2-1,2-0,Austria Wien II,2015-08-07T17:30Z
2,Fri Aug 7 2015,19:30,CEST/+0200,SKU Amstetten,3-1,1-0,SC Neusiedl/See 1919,2015-08-07T17:30Z
2,Sat Aug 8 2015,17:30,CEST/+0200,SKN St. Pölten II,1-1,1-0,Wiener Sportklub,2015-08-08T15:30Z
2,Sun Aug 9 2015,16:00,CEST/+0200,Rapid Wien II,1-1,0-0,SV Horn,2015-08-09T14:00Z
3,Fri Aug 14 2015,18:15,CEST/+0200,FC Stadlau,3-1,1-1,Rapid Wien II,2015-08-14T16:15Z
3,Fri Aug 14 2015,19:00,CEST/+0200,SC Ritzing,2-2,1-1,SC/ESV Parndorf,2015-08-14T17:00Z
3,Fri Aug 14 2015,19:00,CEST/+0200,Austria Wien II,0-0,0-0,First Vienna FC,2015-08-14T17:00Z
3,Fri Aug 14 2015,19:00,CEST/+0200,SC Neusiedl/See 1919,3-1,2-1,ASK Ebreichsdorf,2015-08-14T17:00Z
3,Fri Aug 14 2015,19:00,CEST/+0200,SC Sollenau,0-2,0-0,SKN St. Pölten II,2015-08-14T17:00Z
3,Fri Aug 14 2015,19:30,CEST/+0200,Wiener Sportklub,1-3,0-1,SV Schwechat,2015-08-14T17:30Z
3,Fri Aug 14 2015,19:30,CEST/+0200,SV Horn,8-1,5-1,SV Oberwart,2015-08-14T17:30Z
3,Sun Aug 16 2015,17:30,CEST/+0200,FC Admira Wacker II,3-0,2-0,SKU Amstetten,2015-08-16T15:30Z
4,Fri Aug 21 2015,19:00,CEST/+0200,SC Neusiedl/See 1919,1-1,0-1,FC Admira Wacker II,2015-08-21T17:00Z
4,Fri Aug 21 2015,19:00,CEST/+0200,First Vienna FC,2-1,1-1,SV Horn,2015-08-21T17:00Z
4,Fri Aug 21 2015,19:30,CEST/+0200,SKU Amstetten,2-1,0-1,Austria Wien II,2015-08-21T17:30Z
4,Fri Aug 21 2015,19:30,CEST/+0200,ASK Ebreichsdorf,1-1,0-0,SC/ESV Parndorf,2015-08-21T17:30Z
4,Fri Aug 21 2015,19:30,CEST/+0200,SV Oberwart,0-0,0-0,FC Stadlau,2015-08-21T17:30Z
4,Fri Aug 21 2015,20:00,CEST/+0200,SV Schwechat,1-4,1-0,SC Sollenau,2015-08-21T18:00Z
4,Sat Aug 22 2015,17:30,CEST/+0200,SKN St. Pölten II,2-0,1-0,SC Ritzing,2015-08-22T15:30Z
4,Sun Aug 23 2015,16:00,CEST/+0200,Rapid Wien II,1-0,0-0,Wiener Sportklub,2015-08-23T14:00Z
5,Fri Aug 28 2015,19:00,CEST/+0200,SC/ESV Parndorf,2-2,1-1,SKN St. Pölten II,2015-08-28T17:00Z
5,Fri Aug 28 2015,19:00,CEST/+0200,SC Ritzing,2-0,2-0,SV Schwechat,2015-08-28T17:00Z
5,Fri Aug 28 2015,19:00,CEST/+0200,Austria Wien II,1-1,1-1,SC Neusiedl/See 1919,2015-08-28T17:00Z
5,Fri Aug 28 2015,19:30,CEST/+0200,SV Horn,2-1,1-1,SKU Amstetten,2015-08-28T17:30Z
5,Fri Aug 28 2015,19:30,CEST/+0200,Wiener Sportklub,0-0,0-0,SV Oberwart,2015-08-28T17:30Z
