Round,Date,Time,Team 1,FT,HT,Team 2
1,Fri Jul 30 2021,19:00,ASK-BSC Bruck/Leitha,3-1,2-1,SV Leobendorf
1,Fri Jul 30 2021,19:30,ASV Draßburg,2-2,1-1,SC Neusiedl/See 1919
1,Fri Jul 30 2021,19:30,FCM Traiskirchen,5-3,2-1,FC Mauerwerk
1,Fri Jul 30 2021,19:30,Wiener Sport-Club,1-0,0-0,FC Marchfeld Donauauen
1,Fri Jul 30 2021,18:30,SV Stripfing/Weiden,3-3,1-1,First Vienna FC
1,Sat Jul 31 2021,18:00,SC Wiener Viktoria,4-1,1-1,1. Wiener Neustädter SC
1,Sat Jul 31 2021,16:00,TWL Elektra,1-0,0-0,FC Admira Wacker II
2,Fri Aug 6 2021,19:00,SC Neusiedl/See 1919,1-3,1-1,FCM Traiskirchen
2,Fri Aug 6 2021,19:00,First Vienna FC,4-1,2-0,ASV Draßburg
2,Fri Aug 6 2021,19:30,FC Marchfeld Donauauen,1-3,0-0,SC Wiener Viktoria
2,Fri Aug 6 2021,19:30,1. Wiener Neustädter SC,0-4,0-1,SV Stripfing/Weiden
2,Sat Aug 7 2021,17:30,FC Admira Wacker II,3-1,3-1,FC Mauerwerk
2,Sat Aug 7 2021,18:00,SV Leobendorf,1-1,1-1,Wiener Sport-Club
2,Sat Aug 7 2021,16:00,TWL Elektra,2-1,0-0,ASK-BSC Bruck/Leitha
3,Fri Aug 13 2021,19:00,ASK-BSC Bruck/Leitha,3-4,0-1,FC Admira Wacker II
3,Fri Aug 13 2021,19:30,ASV Draßburg,0-2,0-1,1. Wiener Neustädter SC
3,Fri Aug 13 2021,19:30,FCM Traiskirchen,0-1,0-0,First Vienna FC
3,Fri Aug 13 2021,19:30,Wiener Sport-Club,4-0,2-0,TWL Elektra
3,Sat Aug 14 2021,18:00,SV Stripfing/Weiden,1-1,1-0,FC Marchfeld Donauauen
3,Sat Aug 14 2021,18:00,SC Wiener Viktoria,4-2,1-1,SV Leobendorf
3,Sat Aug 14 2021,17:30,FC Mauerwerk,1-2,1-0,SC Neusiedl/See 1919
4,Fri Aug 20 2021,19:00,ASK-BSC Bruck/Leitha,4-2,2-0,Wiener Sport-Club
4,Fri Aug 20 2021,19:00,First Vienna FC,2-0,2-0,FC Mauerwerk
4,Fri Aug 20 2021,19:30,FC Marchfeld Donauauen,2-1,1-1,ASV Draßburg
4,Fri Aug 20 2021,19:30,1. Wiener Neustädter SC,1-5,1-2,FCM Traiskirchen
4,Sat Aug 21 2021,16:30,SV Leobendorf,0-4,0-1,SV Stripfing/Weiden
4,Sat Aug 21 2021,16:00,TWL Elektra,2-0,1-0,SC Wiener Viktoria
4,Sun Aug 22 2021,17:30,FC Admira Wacker II,1-4,0-1,SC Neusiedl/See 1919
5,Fri Aug 27 2021,19:00,SC Neusiedl/See 1919,0-4,0-2,First Vienna FC
5,Fri Aug 27 2021,19:30,ASV Draßburg,0-3,0-2,SV Leobendorf
5,Fri Aug 27 2021,19:30,FC Marchfeld Donauauen,3-0,2-0,FCM Traiskirchen
5,Fri Aug 27 2021,19:30,Wiener Sport-Club,1-1,1-1,FC Admira Wacker II
5,Sat Aug 28 2021,17:30,FC Mauerwerk,4-3,1-1,1. Wiener Neustädter SC
5,Sat Aug 28 2021,18:00,SC Wiener Viktoria,2-1,0-1,ASK-BSC Bruck/Leitha
5,Sat Aug 28 2021,17:00,SV Stripfing/Weiden,4-2,3-1,TWL Elektra
6,Thu Sep 2 2021,19:00,FC Admira Wacker II,1-1,0-1,First Vienna FC
6,Fri Sep 3 2021,19:00,ASK-BSC Bruck/Leitha,0-1,0-0,SV Stripfing/Weiden
6,Fri Sep 3 2021,19:30,FC Marchfeld Donauauen,4-4,1-2,FC Mauerwerk
6,Fri Sep 3 2021,19:30,1. Wiener Neustädter SC,0-3,0-2,SC Neusiedl/See 1919
6,Fri Sep 3 2021,19:30,TWL Elektra,1-0,1-0,ASV Draßburg
6,Fri Sep 3 2021,19:30,Wiener Sport-Club,8-1,3-1,SC Wiener Viktoria
6,Sat Sep 4 2021,16:30,SV Leobendorf,3-3,1-1,FCM Traiskirchen
7,Fri Sep 10 2021,19:00,First Vienna FC,3-1,0-0,1. Wiener Neustädter SC
7,Fri Sep 10 2021,19:30,ASV Draßburg,4-0,1-0,ASK-BSC Bruck/Leitha
7,Fri Sep 10 2021,19:30,FCM Traiskirchen,1-3,1-2,TWL Elektra
7,Fri Sep 10 2021,19:00,SC Neusiedl/See 1919,1-2,0-1,FC Marchfeld Donauauen
7,Sat Sep 11 2021,17:30,SV Stripfing/Weiden,1-1,0-0,Wiener Sport-Club
7,Sat Sep 11 2021,17:30,FC Mauerwerk,0-2,0-1,SV Leobendorf
8,Fri Sep 17 2021,19:30,TWL Elektra,3-1,1-0,FC Mauerwerk
8,Fri Sep 17 2021,19:00,ASK-BSC Bruck/Leitha,1-1,0-1,FCM Traiskirchen
8,Fri Sep 17 2021,19:30,FC Marchfeld Donauauen,1-1,0-1,First Vienna FC
8,Fri Sep 17 2021,19:30,Wiener Sport-Club,0-0,0-0,ASV Draßburg
8,Sat Sep 18 2021,16:30,SV Leobendorf,2-3,1-0,SC Neusiedl/See 1919
8,Sat Sep 18 2021,17:00,SC Wiener Viktoria,1-0,0-0,SV Stripfing/Weiden
8,Sun Sep 19 2021,14:30,FC Admira Wacker II,2-2,2-1,1. Wiener Neustädter SC
9,Fri Sep 24 2021,19:00,First Vienna FC,1-4,1-4,SV Leobendorf
9,Fri Sep 24 2021,19:00,SC Neusiedl/See 1919,2-0,1-0,TWL Elektra
9,Fri Sep 24 2021,19:30,FCM Traiskirchen,0-2,0-1,Wiener Sport-Club
9,Fri Sep 24 2021,19:30,ASV Draßburg,0-2,0-0,SC Wiener Viktoria
9,Fri Sep 24 2021,19:30,1. Wiener Neustädter SC,1-2,1-1,FC Marchfeld Donauauen
9,Sat Sep 25 2021,16:30,FC Mauerwerk,1-1,1-0,ASK-BSC Bruck/Leitha
9,Sun Sep 26 2021,15:00,SV Stripfing/Weiden,1-0,0-0,FC Admira Wacker II
7,Wed Sep 29 2021,19:00,SC Wiener Viktoria,1-1,1-0,FC Admira Wacker II
10,Fri Oct 1 2021,19:00,ASK-BSC Bruck/Leitha,1-3,1-2,SC Neusiedl/See 1919
10,Fri Oct 1 2021,19:30,Wiener Sport-Club,6-0,3-0,FC Mauerwerk
10,Sat Oct 2 2021,16:00,TWL Elektra,0-1,0-0,First Vienna FC
10,Sat Oct 2 2021,16:30,SV Leobendorf,1-0,0-0,1. Wiener Neustädter SC
10,Sat Oct 2 2021,17:00,SC Wiener Viktoria,1-2,0-1,FCM Traiskirchen
10,Sat Oct 2 2021,16:00,SV Stripfing/Weiden,4-0,2-0,ASV Draßburg
11,Fri Oct 8 2021,19:30,FC Marchfeld Donauauen,0-3,0-1,SV Leobendorf
