Round,Date,Time,Timezone,Team 1,FT,HT,Team 2,UTC
1,Fri Jul 28 2023,20:00,CEST/+0200,MTK Budapest,1-1,0-0,Paksi SE,2023-07-28T18:00Z
1,Sat Jul 29 2023,20:15,CEST/+0200,Újpest FC,2-1,2-0,Fehérvár FC,2023-07-29T18:15Z
1,Sat Jul 29 2023,18:00,CEST/+0200,Diósgyöri VTK,0-1,0-1,Puskás FC,2023-07-29T16:00Z
1,Sun Jul 30 2023,20:00,CEST/+0200,Zalaegerszegi TE,0-2,0-2,Kisvárda FC,2023-07-30T18:00Z
1,Mon Jul 31 2023,20:00,CEST/+0200,Debreceni VSC,3-1,1-1,Mezőkövesdi SE,2023-07-31T18:00Z
2,Fri Aug 4 2023,20:00,CEST/+0200,Puskás FC,3-3,3-1,Újpest FC,2023-08-04T18:00Z
2,Sat Aug 5 2023,17:45,CEST/+0200,Mezőkövesdi SE,2-4,0-2,Diósgyöri VTK,2023-08-05T15:45Z
2,Sun Aug 6 2023,20:00,CEST/+0200,Zalaegerszegi TE,2-1,2-1,MTK Budapest,2023-08-06T18:00Z
2,Sun Aug 6 2023,17:45,CEST/+0200,Fehérvár FC,3-5,1-2,Ferencvárosi TC,2023-08-06T15:45Z
2,Mon Aug 7 2023,20:00,CEST/+0200,Kecskeméti TE,3-1,2-1,Kisvárda FC,2023-08-07T18:00Z
3,Fri Aug 11 2023,20:00,CEST/+0200,MTK Budapest,0-0,0-0,Kisvárda FC,2023-08-11T18:00Z
3,Sat Aug 12 2023,18:00,CEST/+0200,Újpest FC,1-1,0-0,Mezőkövesdi SE,2023-08-12T16:00Z
3,Sat Aug 12 2023,20:15,CEST/+0200,Diósgyöri VTK,1-1,1-1,Paksi SE,2023-08-12T18:15Z
3,Sun Aug 13 2023,21:00,CEST/+0200,Kecskeméti TE,1-0,1-0,Fehérvár FC,2023-08-13T19:00Z
3,Sun Aug 13 2023,16:30,CEST/+0200,Debreceni VSC,1-0,0-0,Zalaegerszegi TE,2023-08-13T14:30Z
3,Sun Aug 13 2023,18:45,CEST/+0200,Ferencvárosi TC,1-2,0-2,Puskás FC,2023-08-13T16:45Z
